cod.,Country,Code,Year,Cellular Subscription C/100,Internet Users(%),No. of Internet Users,Broadband Subscription
283,Argentina,ARG,2002,"17,43","1088,2124%",4.122.695,"0,3928"
284,Argentina,ARG,2003,"20,59","1191,3696%",4.560.344,"0,6796"
285,Argentina,ARG,2004,"35,10","1603,6684%",6.201.193,"1,4104"
286,Argentina,ARG,2005,"56,97","1772,0583%",6.923.521,"2,3828"
287,Argentina,ARG,2006,"80,20","2092,7202%",8.261.401,"4,0308"
288,Argentina,ARG,2007,"101,81","2594,6632%",10.346.509,"6,5517"
289,Argentina,ARG,2008,"116,04","2811,2623%",11.322.013,"7,7713"
290,Argentina,ARG,2009,"129,64","3400,0000%",13.832.677,"8,6729"
291,Argentina,ARG,2010,"139,58","4500,0000%",18.495.056,"9,8500"
292,Argentina,ARG,2011,"146,96","5100,0000%",21.175.575,"11,0648"
293,Argentina,ARG,2012,"154,06","5579,9999%",23.409.419,"12,3304"
294,Argentina,ARG,2013,"159,64","5990,0002%",25.390.573,"14,8142"
295,Argentina,ARG,2014,"143,62","6469,9997%",27.707.168,"15,2904"
296,Argentina,ARG,2015,"143,57","6804,3060%",29.433.430,"15,9159"
297,Argentina,ARG,2016,"146,45","7096,8979%",30.990.901,"16,6673"
298,Argentina,ARG,2017,"140,88","7429,4907%",32.730.336,"17,8500"
299,Argentina,ARG,2018,"132,09","7769,9997%",34.509.360,"19,1015"
300,Argentina,ARG,2019,"125,84","7990,0002%",35.751.668,"19,6361"
301,Argentina,ARG,2020,"121,17","8550,0000%",38.505.807,"21,1780"
302,Armenia,ARM,1980,"0,00","0,0000%",0,"0,0000"
303,Armenia,ARM,1981,"0,00","0,0000%",0,"0,0000"
304,Armenia,ARM,1982,"0,00","0,0000%",0,"0,0000"
305,Armenia,ARM,1983,"0,00","0,0000%",0,"0,0000"
306,Armenia,ARM,1984,"0,00","0,0000%",0,"0,0000"
307,Armenia,ARM,1985,"0,00","0,0000%",0,"0,0000"
308,Armenia,ARM,1986,"0,00","0,0000%",0,"0,0000"
309,Armenia,ARM,1987,"0,00","0,0000%",0,"0,0000"
310,Armenia,ARM,1988,"0,00","0,0000%",0,"0,0000"
311,Armenia,ARM,1989,"0,00","0,0000%",0,"0,0000"
312,Armenia,ARM,1990,"0,00","0,0000%",0,"0,0000"
313,Armenia,ARM,1991,"0,00","0,0000%",0,"0,0000"
314,Armenia,ARM,1992,"0,00","0,0000%",0,"0,0000"
315,Armenia,ARM,1993,"0,00","0,0000%",0,"0,0000"
316,Armenia,ARM,1994,"0,00","0,9117%",308,"0,0000"
317,Armenia,ARM,1995,"0,00","5,2743%",1.753,"0,0000"
318,Armenia,ARM,1996,"0,01","9,4573%",3.120,"0,0000"
319,Armenia,ARM,1997,"0,16","11,1651%",3.653,"0,0000"
320,Armenia,ARM,1998,"0,25","12,8659%",4.169,"0,0000"
321,Armenia,ARM,1999,"0,26","97,0738%",31.122,"0,0000"
322,Armenia,ARM,2000,"0,57","130,0470%",41.206,"0,0000"
323,Armenia,ARM,2001,"0,84","163,1095%",51.104,"0,0002"
324,Armenia,ARM,2002,"2,35","196,0405%",60.871,"0,0003"
325,Armenia,ARM,2003,"3,79","457,5217%",141.105,"0,0003"
326,Armenia,ARM,2004,"6,78","489,9009%",150.191,"0,0333"
327,Armenia,ARM,2005,"10,67","525,2984%",160.072,"0,0668"
328,Armenia,ARM,2006,"42,58","563,1788%",170.445,"0,0000"
329,Armenia,ARM,2007,"63,98","602,1254%",180.902,"0,1330"
330,Armenia,ARM,2008,"49,59","621,0000%",185.271,"0,4746"
331,Armenia,ARM,2009,"75,88","1530,0000%",453.538,"1,3811"
332,Armenia,ARM,2010,"134,34","2500,0000%",736.574,"3,2525"
333,Armenia,ARM,2011,"111,63","3200,0000%",937.275,"5,5822"
334,Armenia,ARM,2012,"115,21","3750,0000%",1.092.910,"7,3521"
335,Armenia,ARM,2013,"115,48","4190,0002%",1.215.681,"8,3883"
336,Armenia,ARM,2014,"118,77","5462,2807%",1.578.565,"9,3697"
337,Armenia,ARM,2015,"118,42","5910,0834%",1.701.275,"9,7868"
338,Armenia,ARM,2016,"116,98","6434,6031%",1.844.055,"10,1892"
339,Armenia,ARM,2017,"118,46","6474,4881%",1.846.478,"10,7077"
340,Armenia,ARM,2018,"121,26","6824,5049%",1.935.814,"11,7709"
341,Armenia,ARM,2019,"122,35","6654,3953%",1.876.941,"13,0405"
342,Armenia,ARM,2020,"117,74","7651,0002%",2.146.572,"14,5249"
343,Aruba,ABW,1980,"0,00","0,0000%",0,"0,0000"
344,Aruba,ABW,1981,"0,00","0,0000%",0,"0,0000"
345,Aruba,ABW,1982,"0,00","0,0000%",0,"0,0000"
346,Aruba,ABW,1983,"0,00","0,0000%",0,"0,0000"
347,Aruba,ABW,1984,"0,00","0,0000%",0,"0,0000"
348,Aruba,ABW,1985,"0,00","0,0000%",0,"0,0000"
349,Aruba,ABW,1986,"0,00","0,0000%",0,"0,0000"
350,Aruba,ABW,1987,"0,00","0,0000%",0,"0,0000"
351,Aruba,ABW,1988,"0,00","0,0000%",0,"0,0000"
352,Aruba,ABW,1989,"0,00","0,0000%",0,"0,0000"
353,Aruba,ABW,1990,"0,00","0,0000%",0,"0,0000"
354,Aruba,ABW,1991,"0,00","0,0000%",0,"0,0000"
355,Aruba,ABW,1992,"0,03","0,0000%",0,"0,0000"
356,Aruba,ABW,1995,"2,14","0,0000%",0,"0,0000"
357,Aruba,ABW,1996,"3,61","276,8383%",2.199,"0,0000"
358,Aruba,ABW,1997,"3,98","0,0000%",0,"0,0000"
359,Aruba,ABW,1998,"6,16","0,0000%",0,"0,0000"
360,Aruba,ABW,1999,"13,48","450,6179%",3.915,"0,0000"
361,Aruba,ABW,2000,"16,51","1544,2823%",13.762,"0,0000"
362,Aruba,ABW,2001,"57,05","1710,0000%",15.510,"0,0000"
363,Aruba,ABW,2002,"65,06","1879,9999%",17.258,"0,0000"
364,Aruba,ABW,2003,"72,10","2079,9999%",19.284,"1,4420"
365,Aruba,ABW,2004,"99,65","2300,0000%",21.517,"7,0521"
366,Aruba,ABW,2005,"103,38","2540,0000%",24.002,"12,2702"
367,Aruba,ABW,2006,"108,13","2800,0000%",26.774,"13,8376"
368,Aruba,ABW,2007,"112,21","3090,0000%",29.910,"15,8029"
369,Aruba,ABW,2008,"119,19","5200,0000%",50.963,"18,1495"
370,Aruba,ABW,2009,"126,16","5800,0000%",57.549,"18,5304"
371,Aruba,ABW,2010,"129,64","6200,0000%",62.219,"18,9015"
372,Aruba,ABW,2012,"131,63","7400,0000%",75.573,"0,0000"
373,Aruba,ABW,2013,"134,55","7890,0002%",81.181,"18,6120"
374,Aruba,ABW,2014,"134,62","8377,9999%",86.802,"18,5017"
375,Aruba,ABW,2015,"135,13","8866,1224%",92.446,"18,2095"
376,Aruba,ABW,2019,"132,63","0,0000%",0,"17,8716"
377,Aruba,ABW,2020,"132,06","0,0000%",0,"17,7959"
378,Australia,AUS,1980,"0,00","0,0000%",0,"0,0000"
379,Australia,AUS,1981,"0,00","0,0000%",0,"0,0000"
380,Australia,AUS,1982,"0,00","0,0000%",0,"0,0000"
381,Australia,AUS,1983,"0,00","0,0000%",0,"0,0000"
382,Australia,AUS,1984,"0,00","0,0000%",0,"0,0000"
